crop_age_days,sat_ndvi,sat_ndre,sat_ndwi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,gdd,hydro_thermal_index,factory_sugar_recovery_pct
317.4,0.8632,0.517,0.4954,0.9112,27.5,12.8,5.17,1.91,492.3,22.82,12.85
467.2,0.7921,0.5459,0.4445,0.8103,28.6,8.6,5.84,1.74,776.8,18.2,12.85
410.3,0.6358,0.191,0.3186,0.5153,34.0,14.9,8.74,0.15,901.2,112.78,12.85
375.7,0.7316,0.5116,0.651,0.69,26.8,12.5,8.45,3.84,554.5,21.87,12.85
260.6,0.708,0.4919,0.6442,0.6493,34.2,8.4,6.58,1.26,577.8,24.49,12.07
260.6,0.7713,0.3922,0.6364,0.7812,23.2,15.7,6.7,0.68,292.7,62.48,12.85
235.1,0.7719,0.4986,0.6127,0.7925,32.9,11.7,7.4,2.12,490.8,27.68,12.08
445.2,0.5832,0.1394,0.3798,0.4272,33.9,7.7,5.0,0.45,973.5,26.47,12.8
376.3,0.8476,0.5918,0.4588,0.8836,24.5,12.6,6.09,1.77,472.1,27.73,12.85
404.1,0.6991,0.2563,0.5795,0.5506,28.0,9.3,5.94,0.06,647.6,51.93,12.85
225.4,0.8445,0.5814,0.6941,0.8517,24.3,14.2,6.13,2.74,277.6,23.3,11.74
472.2,0.6162,0.5099,0.4746,0.4987,31.9,14.4,8.63,0.89,939.3,65.48,12.85
436.4,0.6305,0.21,0.3588,0.5171,29.5,15.8,6.26,1.52,763.5,39.29,12.85
275.2,0.8796,0.4929,0.5811,0.8597,30.9,11.5,5.86,0.38,520.0,49.1,12.85
267.3,0.737,0.413,0.4601,0.6973,24.8,11.1,7.27,1.7,340.8,29.92,12.71
267.7,0.6405,0.38,0.5456,0.5321,25.0,13.8,8.9,2.22,347.0,38.08,12.85
299.1,0.8684,0.4989,0.4062,0.9336,22.6,8.2,6.09,0.96,316.5,25.42,12.85
356.4,0.7395,0.2428,0.3198,0.6661,26.5,11.9,5.35,1.44,517.2,26.13,12.85
332.3,0.5809,0.4661,0.4533,0.4331,29.8,11.9,6.6,0.91,592.7,41.11,12.85
295.7,0.9065,0.4091,0.644,1.0194,34.0,7.8,8.36,3.37,650.9,14.95,12.85
379.1,0.687,0.1867,0.4657,0.5796,31.3,10.8,7.48,1.03,733.0,39.58,12.85
