crop_age_days,sat_ndvi,sat_ndre,sat_ndwi,sat_evi,sat_temp_celsius,sat_diurnal_temp_range,sat_solar_radiation_kwh_m2,sat_precipitation_mm,gdd,hydro_thermal_index,factory_sugar_recovery_pct
317.4,0.7765,0.3637,0.4528,0.7529,29.6,15.2,5.17,1.59,558.6,30.33,12.85
467.2,0.776,0.3042,0.6235,0.7371,33.7,11.7,5.12,0.13,1011.9,53.36,12.85
410.3,0.8788,0.4291,0.292,0.8399,23.8,13.5,8.33,0.42,482.2,79.51,12.85
375.7,0.7377,0.188,0.2875,0.5822,23.8,10.9,6.43,2.23,443.9,21.76,12.85
260.6,0.7987,0.3691,0.6272,0.7677,29.8,12.7,8.58,1.13,463.7,51.1,12.85
260.6,0.7671,0.2246,0.2619,0.6802,35.2,10.1,6.94,3.95,605.8,14.13,11.07
235.1,0.7776,0.3297,0.5268,0.7767,27.8,9.7,7.04,0.84,371.7,37.15,11.36
445.2,0.6792,0.4564,0.5618,0.5239,26.6,12.2,7.31,3.06,649.0,21.98,12.85
376.3,0.7542,0.3596,0.457,0.717,30.5,11.5,8.21,0.89,695.9,49.77,12.85
404.1,0.7614,0.6396,0.6577,0.7796,35.0,12.2,6.23,5.81,930.5,11.17,12.85
225.4,0.6343,0.2792,0.2775,0.5026,33.7,9.6,5.55,4.82,489.4,9.13,9.8
472.2,0.7131,0.4628,0.3639,0.6417,35.9,10.3,7.5,0.6,1130.2,48.34,12.85
436.4,0.5766,0.343,0.1872,0.4322,22.3,7.8,6.47,3.26,450.2,11.79,12.85
275.2,0.9027,0.4745,0.5109,0.9732,23.6,7.5,6.99,2.82,318.7,13.67,12.85
267.3,0.8513,0.3673,0.5126,0.8633,30.5,9.3,7.91,0.35,495.3,54.19,12.68
267.7,0.893,0.429,0.3679,0.897,33.5,7.7,7.22,1.47,575.2,22.44,12.69
299.1,0.7368,0.3253,0.6432,0.6818,26.0,7.9,7.79,0.11,418.5,55.53,12.85
356.4,0.7312,0.5112,0.5464,0.7252,25.3,14.3,7.45,2.72,475.8,28.68,12.85
332.3,0.8006,0.4824,0.3827,0.7039,33.0,7.3,8.33,0.29,698.4,47.54,12.85
295.7,0.5648,0.1415,0.5516,0.4116,22.8,12.9,8.18,0.11,319.1,95.24,12.85
379.1,0.9039,0.5441,0.5852,1.0318,27.2,9.5,7.4,0.77,575.1,39.61,12.85
256.3,0.6813,0.4358,0.3797,0.614,29.1,14.8,8.06,1.29,437.7,52.21,12.76
296.0,0.8406,0.4251,0.4481,0.9122,29.8,11.4,8.93,2.9,528.1,26.05,12.85
315.3,0.8792,0.4754,0.6711,0.9228,32.2,9.8,6.95,5.49,636.8,10.44,12.85
338.6,0.8053,0.6181,0.7053,0.835,27.0,11.7,6.86,0.87,506.8,42.79,12.85
424.1,0.824,0.42,0.566,0.7923,30.6,10.4,8.44,0.09,788.0,80.55,12.85
271.9,0.845,0.3231,0.4134,0.8943,30.2,12.1,7.62,2.07,494.8,29.95,12.81
353.7,0.8516,0.4421,0.7024,0.9373,29.7,8.0,5.32,1.25,624.9,18.99,12.85
374.0,0.7088,0.3572,0.422,0.6505,31.0,16.0,9.01,0.89,709.4,76.14,12.85
232.1,0.7101,0.2525,0.5879,0.5885,25.6,10.8,5.14,0.56,316.4,35.79,10.69
378.0,0.7898,0.4449,0.3749,0.7069,23.2,10.1,8.37,1.05,422.8,41.43,12.85
264.3,0.6936,0.3354,0.4656,0.5726,23.7,13.4,8.41,0.62,308.5,69.55,12.64
236.9,0.6748,0.2367,0.3072,0.5589,25.1,10.3,9.29,2.12,311.4,30.57,11.34
466.7,0.8058,0.4974,0.5512,0.7376,29.0,14.5,5.24,1.18,793.5,34.92,12.85
471.1,0.7968,0.486,0.4457,0.7762,33.8,11.1,7.69,3.14,1025.3,20.58,12.85
430.2,0.8733,0.4938,0.6092,0.9101,31.8,13.5,6.93,1.18,852.5,42.88,12.85
299.2,0.8445,0.3982,0.387,0.8234,33.0,8.0,6.49,0.41,629.7,36.71,12.85
245.4,0.7416,0.2801,0.3827,0.7032,26.9,14.6,5.41,2.86,366.0,20.49,11.52
397.9,0.8049,0.4477,0.5474,0.6794,27.7,13.6,7.53,1.22,623.3,46.17,12.85
334.4,0.6958,0.2586,0.2236,0.5543,27.5,8.9,7.16,0.35,518.8,47.29,12.85
251.7,0.6613,0.4246,0.3556,0.5315,24.7,8.3,5.47,1.47,319.4,18.43,11.62
348.7,0.8724,0.2563,0.6451,0.8915,22.9,9.8,7.76,0.66,378.6,45.89,12.85
228.9,0.7084,0.4667,0.4382,0.5927,30.3,15.8,8.32,2.79,418.3,34.65,11.95
456.4,0.8077,0.3678,0.5813,0.7348,35.8,9.3,8.45,0.91,1088.5,41.3,12.85
287.3,0.6447,0.2895,0.3846,0.5457,24.3,11.1,9.07,1.94,354.4,34.22,12.85
392.3,0.8059,0.4033,0.462,0.8364,22.7,7.3,6.84,0.15,417.9,43.24,12.85
301.0,0.5958,0.2664,0.5393,0.4394,32.9,10.6,9.29,0.76,629.6,55.93,12.85
355.2,0.775,0.4819,0.5142,0.7589,25.5,12.1,8.89,6.13,480.8,15.14,12.85
362.1,0.8985,0.4685,0.4138,0.9759,33.6,15.6,6.33,2.48,782.8,28.36,12.85
268.1,0.773,0.5402,0.4058,0.7791,31.9,11.7,5.72,0.26,532.2,52.8,12.85
472.1,0.7254,0.5835,0.5637,0.7203,35.2,14.4,6.96,0.49,1097.1,67.21,12.85
421.5,0.6574,0.2455,0.1678,0.5008,27.7,11.9,6.81,0.6,662.9,50.73,12.85
464.3,0.6279,0.3804,0.3732,0.4928,31.3,7.4,7.59,1.58,894.5,21.71,12.85
452.7,0.7326,0.5478,0.5977,0.7262,28.5,9.8,7.63,2.12,747.2,24.02,12.85
375.5,0.8346,0.3316,0.3504,0.8153,30.8,12.2,8.37,2.08,706.9,33.16,12.85
459.7,0.8482,0.2697,0.5011,0.8613,28.3,15.6,7.29,1.07,749.0,54.83,12.85
243.0,0.7629,0.4002,0.5296,0.7425,24.6,14.7,5.47,2.5,307.2,23.05,11.86
271.0,0.8099,0.5881,0.526,0.8201,29.1,9.1,8.86,0.86,463.6,43.1,12.85
231.8,0.7461,0.6295,0.4588,0.7532,29.4,9.0,6.39,0.2,403.3,47.92,12.25
304.6,0.7418,0.3752,0.4753,0.7541,33.3,8.8,9.37,1.25,650.2,36.75,12.85
321.1,0.8268,0.5137,0.566,0.8565,32.3,15.3,5.53,4.56,651.7,15.21,12.85
290.6,0.814,0.4965,0.5004,0.7445,31.3,14.7,9.31,2.36,560.6,40.64,12.85
435.5,0.7519,0.4481,0.5622,0.756,23.6,14.0,5.41,1.3,504.6,32.91,12.85
312.8,0.7681,0.2059,0.3208,0.6269,32.1,10.5,6.04,1.56,628.3,24.84,12.85
293.0,0.6443,0.2645,0.5301,0.5219,29.0,11.5,5.21,4.0,498.3,12.02,11.72
361.1,0.8258,0.5565,0.468,0.8859,34.5,11.2,8.17,0.84,813.1,49.69,12.85
256.6,0.6892,0.5238,0.4256,0.5774,34.9,9.3,8.83,0.6,587.1,51.07,12.75
428.6,0.8503,0.1636,0.482,0.7784,22.8,11.5,6.95,5.67,461.7,12.03,12.85
